breed,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category,grooming_frequency_value_seidr,shedding_value_seidr,energy_level_value_seidr,trainability_value_seidr,demeanor_value_seidr,puntuacion_asistencia,url_imagen,caracter
Azawakh,"Loyal, Independent, Deeply Affectionate",of,59.69,73.66,14.968548210000002,24.947580350000003,12.0,15.0,Hound Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.4,Independent,0.8,Friendly,2.0,2.0,3,2,4,3.4000000000000004,iconografia/razas/azawakh.jpg,"Leal, independiente y profundamente afectuoso con su familia íntima. Reservado con los desconocidos. Es un corredor extraordinario que necesita espacio y movimiento."
Barbet,"Friendly, Bright, Sweet-Natured",of,48.26,62.23,15.875732950000002,29.48350405,12.0,14.0,Sporting Group,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly,2.0,1.0,3,3,4,3.8,iconografia/razas/barbet.jpg,"Amigable, inteligente y de carácter dulce. Se lleva bien con todos y aprende con facilidad. Un compañero equilibrado tanto para familias como para personas activas."
Basenji,"Independent, Smart, Poised",87,40.64,43.18,9.97903214,10.88621688,13.0,14.0,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers,1.0,2.0,4,2,2,2.4000000000000004,iconografia/razas/basenji.jpg,"Independiente, inteligente y elegante. No ladra pero se comunica con sonidos únicos. Curioso y juguetón, necesita un dueño paciente que entienda su independencia."
Basset Fauve de Bretagne,"Smart, Cheerful, Determined",,31.75,39.37,12.24699399,15.875732950000002,12.0,12.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,1.0,Outgoing,2.0,3.0,3,1,5,3.4,iconografia/razas/basset_fauve_de_bretagne.jpg,"Inteligente, alegre y determinado. Pequeño rastreador con mucho carácter. Disfruta del ejercicio al aire libre pero también es un compañero tranquilo en casa."
Basset Hound,"Charming, Patient, Low-Key",39,38.1,38.1,18.1436948,29.48350405,12.0,13.0,Hound Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.2,Couch Potato,0.4,Independent,0.8,Friendly,3.0,2.0,1,2,4,3.0000000000000004,iconografia/razas/basset_hound.jpg,"Encantador, paciente y tranquilo. Adora a su familia y no tiene prisa por nada. Es terco a veces pero su carácter apacible lo convierte en un compañero ideal."
Bavarian Mountain Scent Hound,"Loyal, Versatile, Reserved with Strangers",,43.18,52.07,16.78291769,29.937096420000003,12.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers,2.0,4.0,3,3,2,3.0,iconografia/razas/bavarian_mountain_scent_hound.jpg,"Leal, versátil y reservado con desconocidos. Es un rastreador excepcional que con su familia es cariñoso y tranquilo. Necesita ejercicio regular."
Beagle,"Friendly, Curious, Merry",6,33.02,38.1,5.8967008100000005,13.6077711,10.0,15.0,Hound Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.8,Friendly,3.0,3.0,4,3,4,3.6000000000000005,iconografia/razas/beagle.jpg,"Amigable, curioso y alegre. Adora la compañía y es feliz tanto en familia como con otros perros. Tiene un olfato increíble y le encanta explorar el mundo."
Bearded Collie,"Smart, Bouncy, Charismatic",127,50.8,55.88,20.41165665,24.947580350000003,12.0,14.0,Herding Group,0.8,Daily Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,1.0,Outgoing,4.0,3.0,3,2,5,3.8,iconografia/razas/bearded_collie.jpg,"Inteligente, lleno de vida y con mucho carisma. Siempre está dispuesto a jugar y aprender. Necesita ejercicio y estimulación para canalizar su energía desbordante."
Beauceron,"Gentle, Faithful, Obedient",124,60.96,69.85,31.751465900000003,49.895160700000005,10.0,12.0,Herding Group,0.6,2-3 Times a Week Brushing,1.0,Frequent,1.0,Needs Lots of Activity,0.8,Easy Training,0.4,Reserved with Strangers,3.0,5.0,5,4,2,3.0000000000000004,iconografia/razas/beauceron.jpg,"Gentil, fiel y obediente con su familia. Es un perro de trabajo serio y versátil que necesita ejercicio y entrenamiento constante para estar equilibrado."
Bedlington Terrier,"Loyal, Charming, Frollicking",141,38.1,44.45,7.71107029,10.43262451,11.0,16.0,Terrier Group,0.6,2-3 Times a Week Brushing,,,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,3.0,,4,3,3,3.2,iconografia/razas/bedlington_terrier.jpg,"Leal, encantador y juguetón. Parece un corderito pero tiene el corazón de un terrier valiente. Con su familia es muy cariñoso y disfruta de los juegos activos."
Belgian Laekenois,"Affectionate, Alert, Intelligent",,55.88,66.04,24.947580350000003,29.48350405,10.0,12.0,Miscellaneous Class,0.4,Weekly Brushing,0.8,Regularly,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers,2.0,4.0,4,4,2,3.2,iconografia/razas/belgian_laekenois.jpg,"Cariñoso, alerta e inteligente. El más raro de los pastores belgas, pero igual de leal y trabajador. Necesita ejercicio y estimulación mental constante."
Belgian Malinois,"Confident, Smart, Hardworking",43,55.88,66.04,18.1436948,36.2873896,14.0,16.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers,2.0,3.0,4,4,2,3.2,iconografia/razas/belgian_malinois.jpg,"Seguro, inteligente y trabajador. Necesita mucho ejercicio y una tarea que realizar. Con su familia es leal y protector, pero necesita un dueño con experiencia."
Belgian Sheepdog,"Bright, Watchful, Serious-Minded",125,55.88,66.04,20.41165665,34.01942775,12.0,14.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers,3.0,3.0,4,4,2,3.2,iconografia/razas/belgian_groenendael.jpg,"Brillante, vigilante y serio. Muy leal a su familia y siempre alerta. Necesita ejercicio intenso y estimulación mental para estar equilibrado."
Belgian Tervuren,"Courageous, Alert, Intelligent",106,55.88,66.04,20.41165665,34.01942775,12.0,14.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers,3.0,3.0,4,4,2,3.2,iconografia/razas/belgian_tervueren.jpg,"Valiente, alerta e inteligente. Muy versátil y trabajador. Con su familia es afectuoso pero necesita mucho ejercicio y entrenamiento para estar feliz."
Bergamasco Sheepdog,"Independent, Sociable, Intelligent",187,55.88,59.69,25.85476509,38.10175908,13.0,15.0,Herding Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.4,Calm,0.6,Agreeable,0.4,Reserved with Strangers,1.0,1.0,2,3,2,2.8,iconografia/razas/Bergamasco_Sheepdog.jpg,"Independiente, sociable e inteligente. Su pelaje único es parte de su identidad. Es tranquilo y reflexivo, y se vincula profundamente con su familia."
Berger Picard,"Loyal, Good-Natured, Observant",144,54.61,64.77,22.6796185,31.751465900000003,12.0,13.0,Herding Group,0.2,Occasional Bath/Brush,0.6,Seasonal,1.0,Needs Lots of Activity,0.8,Easy Training,0.6,Alert/Responsive,1.0,3.0,5,4,3,3.4000000000000004,iconografia/razas/berger_picard.jpg,"Leal, de buen carácter y observador. Inteligente y activo, necesita ejercicio y estimulación. Con su familia es cariñoso y muy expresivo."
Bernese Mountain Dog,"Good-Natured, Calm, Strong",22,58.42,69.85,31.751465900000003,52.16312255,7.0,10.0,Working Group,0.6,2-3 Times a Week Brushing,1.0,Frequent,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers,3.0,5.0,4,4,2,3.2,iconografia/razas/bernese_mountain_dog.jpg,"De buen carácter, tranquilo y fuerte. Es un perro de familia por excelencia: paciente con los niños, leal con los adultos y siempre de buen humor."
Bichon Frise,"Playful, Curious, Peppy",46,24.13,29.21,5.4431084400000005,8.164662660000001,14.0,15.0,Non-Sporting Group,1.0,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,1.0,Outgoing,5.0,1.0,3,3,5,4.2,iconografia/razas/bichon_frise.jpg,"Juguetón, curioso y lleno de energía. Adora la compañía y no le gusta estar solo. Es alegre, cariñoso y siempre dispuesto a hacer las delicias de su familia."
Biewer Terrier,"Intelligent, Devoted, Amusing",,17.78,27.94,1.81436948,3.62873896,16.0,16.0,Miscellaneous Class,0.6,2-3 Times a Week Brushing,,,0.4,Calm,1.0,Eager to Please,1.0,Outgoing,3.0,,2,5,5,4.8,iconografia/razas/biewer_terrier.jpg,"Inteligente, devoto y divertido. Es un compañero alegre y afectuoso que disfruta de los juegos y la compañía. Aprende rápido y adora a su familia."
Black and Tan Coonhound,"Easy-Going, Bright, Brave",138,58.42,68.58,29.48350405,49.895160700000005,10.0,12.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.8,Friendly,2.0,3.0,3,2,4,3.4000000000000004,iconografia/razas/black_and_tan_coonhound.jpg,"Tranquilo, brillante y valiente. Es un rastreador incansable pero en casa es un compañero afable y de buen carácter. Se lleva bien con todos."
Black Russian Terrier,"Intelligent, Calm, Powerful",118,66.04,76.2,36.2873896,58.9670081,10.0,12.0,Working Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.4,Reserved with Strangers,4.0,3.0,4,4,2,3.2,iconografia/razas/black_russian_terrier.jpg,"Inteligente, tranquilo y poderoso. Es un guardián serio y leal que con su familia es cariñoso y protector. Necesita ejercicio y entrenamiento constante."
Bloodhound,"Friendly, Independent, Inquisitive",49,58.42,68.58,36.2873896,49.895160700000005,10.0,12.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive,2.0,3.0,3,2,3,3.0,iconografia/razas/bloodhound.jpg,"Amigable, independiente e inquisitivo. Tiene el mejor olfato del mundo canino y lo sabe. En casa es tranquilo y afectuoso; fuera, sigue cualquier rastro con determinación."
Bluetick Coonhound,"Smart, Devoted, Tenacious",130,53.34,68.58,20.41165665,36.2873896,11.0,12.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.8,Friendly,2.0,3.0,4,3,4,3.6000000000000005,iconografia/razas/bluetick_coonhound.jpg,"Inteligente, devoto y tenaz. Es un rastreador apasionado que en casa es un compañero leal y cariñoso. Necesita ejercicio para canalizar su energía."
Boerboel,"Confident, Intelligent, Calm",121,55.88,68.58,68.0388555,90.718474,9.0,11.0,Working Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.4,Calm,0.6,Agreeable,0.4,Reserved with Strangers,1.0,2.0,2,3,2,2.8,iconografia/razas/boerboel.jpg,"Seguro, inteligente y tranquilo. Es un guardián poderoso y leal que con su familia es afectuoso. Necesita socialización temprana y un dueño con experiencia."
Bohemian Shepherd,"Friendly, Devoted, Alert and Intelligent",,49.022000000000006,55.118,16.78291769,27.2155422,12.0,15.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.6,Alert/Responsive,1.0,2.0,3,4,3,3.8,iconografia/razas/bohemian_shepherd.jpg,"Amigable, devoto y alerta. Inteligente y fácil de entrenar. Con su familia es cariñoso y siempre está dispuesto a aprender cosas nuevas."
Bolognese,"Playful, Easy-Going, Devoted",,25.4,30.48,2.4947580350000003,4.082331330000001,12.0,14.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.4,Calm,0.6,Agreeable,0.8,Friendly,3.0,1.0,2,3,4,3.6000000000000005,iconografia/razas/bolognese.jpg,"Juguetón, tranquilo y devoto. Adora estar con su familia y no le gusta la soledad. Es cariñoso, adaptable y siempre de buen humor."
Border Collie,"Affectionate, Smart, Energetic",35,45.72,55.88,13.6077711,24.947580350000003,12.0,15.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,1.0,Eager to Please,0.4,Reserved with Strangers,3.0,3.0,5,5,2,3.4,iconografia/razas/border_collie.jpg,"Cariñoso, inteligente y lleno de energía. Considerado el perro más inteligente del mundo, necesita trabajo mental y físico constante para estar equilibrado."
Border Terrier,"Affectionate, Happy, Plucky",88,30.48,38.1,5.216312255,7.030681735,12.0,15.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly,2.0,2.0,3,4,4,4.2,iconografia/razas/border_terrier.jpg,"Cariñoso, feliz y valiente. Pequeño y resistente, con toda la energía de un terrier. Es adaptable, aprende rápido y adora a su familia."
Borzoi,"Affectionate, Loyal, Regally Dignified",103,66.04,71.12,27.2155422,47.62719885,9.0,14.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive,2.0,3.0,4,2,3,2.8,iconografia/razas/borzoi.jpg,"Cariñoso, leal y con una elegancia aristocrática. Es tranquilo en casa pero necesita correr. Con su familia íntima es muy afectuoso aunque reservado con extraños."
Boston Terrier,"Friendly, Bright, Amusing",21,38.1,43.18,5.4431084400000005,11.33980925,11.0,13.0,Non-Sporting Group,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,1.0,Outgoing,2.0,1.0,3,5,5,5.0,iconografia/razas/boston_terrier.jpg,"Amigable, brillante y divertido. El 'caballero americano' es un compañero alegre y cariñoso que se adapta bien a la vida en ciudad. Adora a las personas."
Bouvier des Flandres,"Affectionate, Courageous, Strong-Willed",84,59.69,69.85,31.751465900000003,49.895160700000005,10.0,12.0,Herding Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,4.0,3.0,4,3,3,3.2,iconografia/razas/bouvier_des_flandres.JPG,"Cariñoso, valiente y de carácter fuerte. Es un trabajador versátil y leal que con su familia es muy afectuoso. Necesita ejercicio y entrenamiento regular."
Boxer,"Bright, Fun-Loving, Active",11,54.61,63.5,6.80388555,36.2873896,10.0,12.0,Working Group,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.8,Easy Training,1.0,Outgoing,2.0,2.0,4,4,5,4.4,iconografia/razas/boxer.jpg,"Brillante, juguetón y activo. Es un eterno cachorro con mucha energía y amor para dar. Con los niños es paciente y con los adultos, un compañero leal e incansable."
Boykin Spaniel,"Friendly, Eager, Lovable",100,35.56,45.72,11.33980925,18.1436948,10.0,15.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.6,Alert/Responsive,3.0,3.0,3,5,3,4.2,iconografia/razas/boykin_spaniel.jpg,"Amigable, entusiasta y adorable. Le encanta el agua y el trabajo al aire libre. Con su familia es muy cariñoso y siempre está de buen humor."
Bracco Italiano,"Affectionate, Intelligent, Enthusiastic",,53.34,68.58,24.947580350000003,40.8233133,10.0,14.0,Miscellaneous Class,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.8,Easy Training,0.6,Alert/Responsive,1.0,2.0,4,4,3,3.6000000000000005,iconografia/razas/braco_italiano.jpg,"Cariñoso, inteligente y entusiasta. Es un perro de caza versátil que en casa es un compañero dulce y devoto. Se lleva bien con todos."
Braque du Bourbonnais,"Affectionate, Adaptable, Gentle",,48.26,57.15,15.875732950000002,24.04039561,10.0,12.0,Foundation Stock Service,0.2,Occasional Bath/Brush,,,0.6,Regular Exercise,1.0,Eager to Please,0.6,Alert/Responsive,1.0,,3,5,3,4.2,iconografia/razas/braque_du_bourbonnais.jpg,"Cariñoso, adaptable y gentil. Es un cazador versátil que en casa es un compañero tranquilo y afectuoso. Se adapta bien a la vida familiar."
Braque Francais Pyrenean,"Friendly, Smart, Willing to Please",,46.99,58.42,18.1436948,24.947580350000003,,,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,1.0,Needs Lots of Activity,0.6,,0.6,,1.0,3.0,5,3,3,3.0000000000000004,iconografia/razas/Braque_Francais_Pyrenean.jpg,"Amigable, inteligente y dispuesto a complacer. Es un perro de trabajo equilibrado que en casa es un compañero cariñoso y tranquilo."
Briard,"Confident, Smart, Faithful",132,55.88,68.58,24.947580350000003,45.359237,12.0,12.0,Herding Group,0.8,Daily Brushing,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,4.0,1.0,3,2,2,2.6,iconografia/razas/briard.jpg,"Seguro, inteligente y fiel. Es un pastor protector y versátil que con su familia es muy afectuoso. Necesita ejercicio y estimulación mental constante."
Brittany,"Bright, Fun-Loving, Upbeat",26,44.45,52.07,13.6077711,18.1436948,12.0,14.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,1.0,Needs Lots of Activity,1.0,Eager to Please,0.8,Friendly,3.0,3.0,5,5,4,4.2,iconografia/razas/brittany.jpg,"Brillante, divertido y optimista. Lleno de energía y siempre dispuesto a la aventura. Es un excelente compañero para personas activas y familias con niños."
Broholmer,"Friendly, Watchful, Loving",,69.85,74.93,40.8233133,68.0388555,8.0,10.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.4,Calm,0.6,,0.6,,1.0,3.0,2,3,3,3.2,iconografia/razas/broholmer.jpg,"Amigable, vigilante y cariñoso. Es un guardián tranquilo y leal que con su familia es muy afectuoso. Necesita ejercicio moderado y mucho espacio."
Brussels Griffon,"Loyal, Alert, Curious",98,17.78,25.4,3.62873896,4.535923700000001,12.0,15.0,Toy Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly,3.0,3.0,3,3,4,3.8,iconografia/razas/brussels_griffon.jpg,"Leal, alerta y curioso. Pequeño pero con mucha personalidad. Es muy apegado a su dueño y necesita compañía constante para estar feliz."
Bull Terrier,"Playful, Charming, Mischievous",62,53.34,55.88,22.6796185,31.751465900000003,12.0,13.0,Terrier Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly,2.0,3.0,4,2,4,3.2,iconografia/razas/bull_terrier.jpg,"Juguetón, encantador y travieso. Es un perro lleno de energía y con mucho carácter. Con su familia es muy cariñoso aunque necesita límites claros."
