criatura_id,universo_id,nombre,calma,vinculo,estimulacion,independencia,raza_real_id,explicacion_equivalencia,descripcion,url_imagen
11,1,Escarbato,1,3,5,4,11,Jack Russell Terrier — energía extrema e hiperfoco absoluto en su objetivo. Afectuoso pero su instinto supera cualquier lealtad cuando detecta objetos brillantes. Independiente y difícil de manejar en modo búsqueda.,El Escarbato es una criatura parecida a un topo con pelaje negro y brillante y un instinto irresistible por cualquier cosa que reluzca. Su bolsa-estómago puede contener cantidades imposibles de objetos robados. Newt Scamander lleva uno en su maletín con consecuencias predeciblemente caóticas.,https://static.wikia.nocookie.net/harrypotter/images/e/e9/Niffler_FBCFTWW.png/revision/latest?cb=20161129180529
12,1,Thestral,5,4,2,4,12,Galgo — aspecto intimidante pero naturaleza serena y afectuosa. Solo visible para quien ha visto la muerte — vínculo especial con Luna y Harry. Movimiento elegante y silencioso. Presencia reconfortante para quienes pueden verlos.,"Los caballos alados con apariencia de esqueleto que tiran de los carruajes de Hogwarts y que solo pueden ver quienes han presenciado la muerte. Incomprendidos y considerados de mal augurio, son en realidad criaturas dóciles e inteligentes. Su invisibilidad para la mayoría es la metáfora visual más honesta de la saga sobre el duelo.",https://static.wikia.nocookie.net/harrypotter/images/b/bd/Thestral.png/revision/latest/scale-to-width-down/407?cb=20160524181902
13,1,Fang,2,5,3,1,13,Mastín Napolitano — tamaño imponente con corazón dependiente. Vínculo incondicional con Hagrid — siempre a su lado aunque tiemble de miedo. Movimiento lento y majestuoso. La cobardía es un rasgo individual de Fang no de la raza.,"El enorme sabueso de Hagrid que parece feroz y resulta ser el cobarde más grande del Bosque Prohibido. Llora, tiembla y se esconde ante cualquier amenaza, lo que lo convierte en el acompañante menos útil posible para adentrarse en territorios peligrosos. Hagrid lo quiere de todas formas.",https://static.wikia.nocookie.net/harrypotter/images/2/22/Fang.jpg/revision/latest/scale-to-width-down/361?cb=20100220154955
14,1,Ronan,5,2,1,5,14,Saluki — independiente y sereno. Desconfianza hacia los humanos por principio. Observador contemplativo — mira las estrellas y habla con sabiduría pausada. Actúa según su propio código sin aceptar interferencias externas.,"Uno de los centauros del Bosque Prohibido, serio y reservado, siempre mirando las estrellas y respondiendo en acertijos. Los centauros consideran que interferir en los asuntos humanos va contra su naturaleza, lo que los convierte en observadores de todo y participantes de casi nada.",https://static.wikia.nocookie.net/harrypotter/images/b/ba/CentaursHagrid.jpg/revision/latest?cb=20070912091824
16,1,Fluffy,1,2,5,4,16,Rottweiler — guardián natural difícil de manejar sin experiencia. Tres cabezas activas simultáneamente. Responde a la música pero sin conexión emocional real.,"El perro de tres cabezas que Hagrid compró a un griego en un pub y que Dumbledore usó para guardar la Piedra Filosofal. Su único punto débil es la música, que lo duerme instantáneamente. Es la primera trampa que Harry, Ron y Hermione tienen que superar y establece el tono de desafíos imposibles que seguirán.",https://static.wikia.nocookie.net/harrypotter/images/1/11/B1C9M3_cropped_Fluffy.png/revision/latest/scale-to-width-down/554?cb=20170925204659
17,1,El basilisco,3,2,3,5,17,Fila Brasileiro — leal únicamente a su dueño peligroso para cualquier otro. Vive solo en las cámaras durante siglos. Letal cuando es activado por el heredero de Slytherin.,"La serpiente gigante criada por Salazar Slytherin que vive en la Cámara de los Secretos durante mil años esperando al heredero. Su mirada mata directamente, pero su reflejo solo petrifica. Harry la derrota ciega con la espada de Gryffindor guiado por el canto del fénix de Dumbledore.",iconografia/criaturas/basilisco.jpg
18,1,La esfinge,5,2,2,5,18,Galgo Afgano — sereno independiente y distante emocionalmente pero con presencia majestuosa. Relación transaccional basada en el acertijo. Actúa según su propio código.,"La criatura del laberinto del Torneo de los Tres Magos que bloquea el paso a Harry con un acertijo. Si lo resuelve, lo deja pasar; si no puede o intenta atacarla, lo ataca. Es uno de los obstáculos más elaborados del torneo y el que mejor refleja que la inteligencia puede ser tan válida como la fuerza.",iconografia/criaturas/esfinge.jpg
19,1,Pigwidgeon,1,4,5,2,19,Chihuahua — pequeño energía extrema afectuoso y expresivo necesita interacción constante. Vínculo entusiasta con Ron desbordante de energía.,La lechuza diminuta y completamente hiperactiva que Sirius regala a Ron para compensar la pérdida de Scabbers. Es tan pequeña que tiene que llevar las cartas en grupos y tan emocionable que no puede volar en línea recta. Ron la encuentra insufrible aunque la quiere.,https://static.wikia.nocookie.net/harrypotter/images/c/ce/Pigwidgeon.jpg/revision/latest?cb=20161123054507
21,1,Errol,2,4,3,2,20,Bloodhound — torpe leal perseverante siempre llega aunque tarde. Vínculo real con la familia Weasley a pesar de sus limitaciones.,"El búho familiar de los Weasley, tan viejo y decrépito que choca contra las ventanas al llegar y a veces necesita ser reanimado. Es el equivalente animal de la condición económica de la familia: maltrecho pero funcionando, con más afecto que eficiencia.",https://static.wikia.nocookie.net/harrypotter/images/e/e4/Errol_PM.png/revision/latest/scale-to-width-down/600?cb=20170117132530
22,1,Grawp,2,3,4,3,21,Terranova — enorme torpe con su propia fuerza afectuoso en desarrollo necesita guía paciente. Aprende a conectar con Hermione y Hagrid poco a poco.,"El medio hermano de Hagrid, un gigante de unos cinco metros que Hagrid trajo del norte convencido de que podría civilizarlo. Grawp aprende despacio, destruye los árboles del Bosque Prohibido sin querer y tiene un afecto torpe hacia Hermione que casi la aplasta varias veces.",https://static.wikia.nocookie.net/harrypotter/images/e/e6/Grawp.png/revision/latest/scale-to-width-down/331?cb=20170210040408
24,1,Snidget dorado,3,2,4,5,22,Whippet — velocidad excepcional esquivo independiente difícil de vincular pero fascinante de observar. Inspiró la Snitch dorada.,"El pájaro mágico dorado con ojos de rubí que se usaba en los partidos de quidditch antes de la existencia de la snitch. Su caza casi lo llevó a la extinción hasta que fue protegido por ley y reemplazado por la snitch dorada actual. Pequeño, velocísimo y extraordinariamente difícil de atrapar.",https://static.wikia.nocookie.net/harrypotter/images/e/e4/Golden_Snidget_HL.jpeg/revision/latest/scale-to-width-down/600?cb=20250917140057
25,1,Demiguise,5,3,1,4,23,Bichón Maltés — calmado suave prefiere evitar el conflicto vínculo selectivo con quien le trata bien. Se vuelve invisible ante el peligro en lugar de atacar.,Una criatura de aspecto simiesco con pelo plateado sedoso y la capacidad de volverse invisible y predecir el futuro a corto plazo. Su pelo es el único material con el que se pueden fabricar capas de invisibilidad. Es pacífico y tímido pero muy difícil de atrapar precisamente porque ve lo que va a pasar.,https://static.wikia.nocookie.net/harrypotter/images/e/ee/Demiguise_FBC.png/revision/latest?cb=20170216193653
26,1,Mooncalf,4,2,2,4,24,Coonhound — activo de noche ritmos propios independiente. Solo sale de noche movimientos lentos y rítmicos bajo la luna llena.,Una criatura tímida que solo sale a la luz de la luna llena para bailar complicadas figuras en los campos. Sus heces son un abono extraordinario para las plantas mágicas. Completamente inofensiva y de una delicadeza que contrasta con la mayoría de las criaturas del mundo mágico.,https://static.wikia.nocookie.net/harrypotter/images/4/4d/Mooncalf_Concept_Art_FB1.png/revision/latest?cb=20170304200812
27,1,Micropuff,5,4,1,2,25,Pomerania — pequeño suave afectuoso busca el contacto constante ideal para regulación emocional. Estimulación mínima presencia reconfortante.,"Un micropuff es un puffskein en miniatura criado por Fred y George Weasley y vendido en su tienda Sortilegios Weasley del Callejón Diagon como parte de su gama WonderBruja. Pequeñas bolas esponjosas que ruedan y chillan, vienen en distintos tonos de rosa y púrpura y fueron uno de sus productos más populares — tan populares que los gemelos tenían problemas para criarlos con suficiente rapidez para satisfacer la demanda. Ginny Weasley tenía uno morado llamado Arnold al que llevaba consigo por Hogwarts.",https://static.wikia.nocookie.net/harrypotter/images/c/ca/Arnold_Pygmy_Puff_Concept_Art.jpg/revision/latest/scale-to-width-down/600?cb=20170101150931
28,1,Diricawl,5,3,1,3,26,Basset Hound — tranquilo torpe y pacífico sin instinto de ataque. Desaparece ante el peligro en lugar de enfrentarlo. Presencia reconfortante por su calma absoluta.,"Una criatura rechoncha y emplumada que puede desaparecer y reaparecer en otro lugar instantáneamente cuando se siente amenazada. Los muggles lo conocían como el dodo y creyeron que lo habían extinguido, sin saber que simplemente desaparecía cuando alguien intentaba hacerle daño.",https://static.wikia.nocookie.net/harrypotter/images/9/9b/Diricawl.jpg/revision/latest?cb=20181207121715
29,1,Jobberknoll,4,2,1,4,27,Basenji — el único perro que no ladra silencioso independiente presencia discreta. No emite ningún sonido durante toda su vida hasta el momento de su muerte.,"Un pájaro azul diminuto que no emite ningún sonido durante toda su vida hasta el momento de morir, cuando repite hacia atrás todos los sonidos que ha escuchado. Sus plumas se usan en pociones de veracidad y de memoria.",https://static.wikia.nocookie.net/harrypotter/images/8/8c/Jobberknoll.png/revision/latest/scale-to-width-down/600?cb=20171227194536
30,1,Kneazle,4,4,2,4,28,Shiba Inu — independiente leal a su persona desconfiado con extraños criterio propio muy marcado. Detecta personas deshonestas y las rechaza activamente.,"Una criatura parecida a un gato con orejas grandes, cola manchada y una inteligencia extraordinaria que le permite detectar personas sospechosas o peligrosas. Los kneazles pueden vincularse con humanos y actuar como guías. Crookshanks tiene sangre de kneazle, lo que explica su sagacidad.",https://static.wikia.nocookie.net/harrypotter/images/f/f6/Kneazle.jpg/revision/latest/scale-to-width-down/400?cb=20170528122834
31,1,Graphorn,2,2,4,5,29,Tosa Inu — territorial independiente vínculo muy difícil de establecer. No apto para cualquier perfil. Solo conecta con quien demuestra respeto y paciencia extrema.,"Una criatura montañosa enorme y extremadamente peligrosa con dos cuernos y piel más dura que la de cualquier otro ser mágico conocido. Los magos de las montañas europeas intentaban a veces montarlos, con resultados generalmente desastrosos para el mago.",https://static.wikia.nocookie.net/harrypotter/images/8/81/Graphorn.png/revision/latest?cb=20161130204438
32,1,Unicornio,5,3,2,4,30,Samoyedo — blanco sereno majestuoso vínculo selectivo presencia reconfortante. Solo se acerca a quienes son puros de corazón. Símbolo de pureza y calma en el universo mágico.,"El caballo blanco con cuerno de plata que vive en bosques mágicos y que la leyenda asocia con la pureza. Su sangre mantiene vivo a quien la bebe pero a costa de una maldición. Voldemort, reducido a su forma más básica, bebía la sangre de los unicornios del Bosque Prohibido para subsistir.",iconografia/criaturas/unicornio.jpg
33,2,Pan,2,5,4,1,1,Golden Retriever — vínculo incondicional adaptable siempre presente. Literalmente el alma de Lyra externalizada. Reflejo emocional constante de su persona.,"El daimonion de Lyra, su alma externalizada en forma animal que cambia de forma constantemente durante la infancia y se fija en una sola cuando el humano alcanza la madurez. Pan termina siendo un armiño con aspecto de marta. Su separación de Lyra en el mundo de los muertos es uno de los momentos más dolorosos de la trilogía.",iconografia/criaturas/pan.jpg
34,2,Kirjava,4,5,2,1,2,Labrador Retriever — sereno leal y discreto. Vínculo profundo e incondicional. Reflejo de la madurez y estabilidad de Will.,"El daimonion de Will, una gata de pelo oscuro con reflejos que parecen cambiar de color. Como todos los daimonions, es la manifestación del alma de su humano y su compañero inseparable. Su nombre lo elige ella misma, algo inusual y significativo.",
35,2,Stelmaria,4,5,3,1,40,Weimaraner — elegante distante leal a una sola persona presencia imponente. Reflejo de la frialdad calculadora de Lord Asriel.,"El daimonion de Lord Asriel en forma de leopardo de las nieves, tan frío y distante como su humano. Su presencia comunica el poder y la separación emocional de Asriel de las convenciones ordinarias.",iconografia/criaturas/stelmaria.jpg
36,2,El mono dorado,2,5,4,1,31,Pastor Belga Malinois — alerta constante intenso y territorial. Agresivo con extraños leal absolutamente a su persona. Reflejo de la tensión interna de Mrs. Coulter.,"El daimonion de Mrs. Coulter, un mono dorado sin nombre que es tan manipulador y cruel como ella pero de una manera más explícitamente física. Ataca a otros daimonions, algo que en ese mundo es el equivalente de atacar a una persona directamente en el alma.",iconografia/criaturas/el_mono_dorado.jpg
37,2,El gato atigrado,5,5,2,1,32,Borzoi — elegante y sereno observador y tranquilo. Vínculo profundo y selectivo. Reflejo de la sabiduría y calma de Farder Coram.,"El daimonion de Farder Coram, reflejo de la sabiduría tranquila y observadora del anciano consejero de los gitanos del agua.",
38,2,La liebre,3,5,3,1,33,Beagle — curioso alerta y adaptable. Vínculo afectuoso y naturaleza exploradora. Reflejo del pragmatismo y la adaptabilidad de Lee Scoresby.,"El daimonion de Lee Scoresby, tan pragmático y alerta como el aeronauta tejano. La forma de liebre sugiere velocidad, cautela y la capacidad de sobrevivir en espacios abiertos.",
39,2,El ganso,4,5,2,2,34,Setter Irlandés — elegante sereno y libre. Vínculo profundo pero con cierta independencia natural. Las brujas pueden separarse de su daemon más que los humanos — rasgo único en el universo.,"El daimonion de Serafina Pekkala, que puede separarse de ella a grandes distancias como todos los daimonions de las brujas. Esta capacidad de separación es lo que marca la diferencia entre las brujas y los humanos ordinarios en la trilogía.",
40,2,Panserbjørne,3,2,3,5,35,Perro de Groenlandia — ártico puro independiente y con jerarquía y honor propios. Vínculo basado en el respeto mutuo no en la afección. No es una raza para cualquiera. Su armadura es su alma — no necesitan a nadie más.,"Los osos acorazados del norte, seres de una inteligencia equivalente a la humana cuya armadura es literalmente su alma, el equivalente de un daimonion para ellos. Sin armadura, un oso acorazado pierde parte de lo que es. Iorek Byrnison es el más famoso de su especie.",iconografia/criaturas/panserbjorne.png
41,2,Las brujas de Serafina,4,3,2,5,36,Spitz Finlandés — ártico independiente vínculo selectivo y presencia etérea y silenciosa. Siglos de vida dan perspectiva y calma. Aman una sola vez pero con profundidad absoluta.,El clan de brujas nórdicas que vuelan en ramas de nube-pino y que viven cientos de años con una perspectiva del tiempo completamente diferente a la humana. Su alianza con Lyra y los gitanos del agua es uno de los vínculos más poderosos de la trilogía.,iconografia/criaturas/las_brujas_de_serafina.jpg
42,2,Los gallivespians,2,3,4,3,37,Pinscher Miniatura — pequeño pero con presencia y determinación que no corresponde a su tamaño. Alerta constante y ágil. Difícil de ignorar a pesar de su tamaño. Intensidad de espía en formato diminuto.,"Los espías diminutos del Lord Regente Asriel, seres del tamaño de una mano con espolones venenosos en los talones. Chevalier Tialys y la Lady Salmakia acompañan a Lyra y Will en su viaje al mundo de los muertos, un encargo que va más allá de lo que esperaban.",iconografia/criaturas/gallivespians.jpg
43,2,Los mulefa,5,4,2,4,38,Leonberger — sereno sabio y acogedor cuando confía. Vínculo profundo con Mary Malone — la integran en su comunidad. Civilización antigua en equilibrio con su entorno. Independiente con normas y sabiduría propias.,"Las criaturas con ruedas naturales que viven en el mundo donde Mary Malone aterriza, seres que tienen una relación simbiótica con los árboles de semilla-rueda y que pueden ver la Polvo directamente. Su existencia es la clave que Mary necesita para entender lo que está pasando.",iconografia/criaturas/los_mulefa.png
44,2,Balthamos y Baruch,3,5,2,3,39,Vizsla — vínculo intenso y profundo sensible y leal hasta el sacrificio. Amor absoluto entre ellos. Presencia etérea y elegante. Balthamos ansioso e impaciente — Baruch más sereno — juntos se complementan perfectamente.,"Dos ángeles que buscan a Will para guiarlo hacia Lord Asriel. Baruch muere llevando información crucial y Balthamos, destrozado por la pérdida, acompaña a Will en su viaje con una lealtad construida sobre el dolor. Su historia es la más íntima sobre el amor en toda la trilogía.",iconografia/criaturas/balthamos_baruch.jpg
45,3,Bulbasaur,4,4,2,3,Basset Hound,Tranquilo y paciente. Leal y afectuoso con su entrenador. Energía baja y carácter sereno.,"El Pokémon semilla de tipo Planta/Veneno que lleva un bulbo en la espalda desde que nace. Tranquilo, fiel y más resistente de lo que parece, es uno de los tres iniciales de Kanto y el que más paciencia requiere al principio pero el que mejor aguanta en las primeras fases del juego.",https://static.wikia.nocookie.net/pokemon/images/f/fb/0001Bulbasaur.png/revision/latest/scale-to-width-down/600?cb=20240903144321
46,3,Venusaur,5,3,2,4,Chow Chow,Muy calmado y digno. Reservado con extraños. Independiente y de carácter propio.,"La forma final de Bulbasaur, una criatura robusta con una flor enorme en la espalda que absorbe la luz solar para recargar energía. Su combinación de defensa y poder especial lo convierte en uno de los iniciales más equilibrados.",https://static.wikia.nocookie.net/pokemon/images/6/6b/0003Venusaur.png/revision/latest/scale-to-width-down/600?cb=20240714092555
47,3,Charmander,3,4,3,2,Cavalier King Charles Spaniel,Afectuoso y gentil. Necesita vínculo cercano. Curioso y activo con moderación.,"El Pokémon lagartija con una llama en la cola que indica su estado de salud: si la llama se apaga, Charmander muere. Curioso, valiente y con un vínculo emocional muy fuerte con su entrenador, es el inicial más querido de Kanto y uno de los más icónicos de toda la franquicia.",https://static.wikia.nocookie.net/pokemon/images/2/27/0004Charmander.png/revision/latest/scale-to-width-down/600?cb=20250818161953
48,3,Charmeleon,2,3,4,3,Shiba Inu,Activo y con carácter fuerte. Reservado y algo difícil de manejar. Leal a su manera.,"La evolución intermedia de Charmander, más agresivo e independiente que su forma anterior. Cuando se enfrenta a oponentes fuertes, la llama de su cola se vuelve azul por la intensidad del calor que genera.",https://static.wikia.nocookie.net/pokemon/images/0/05/0005Charmeleon.png/revision/latest?cb=20250818162246
49,3,Charizard,2,2,4,5,Akita,Poderoso e independiente. Leal solo a quien respeta. Difícil de controlar sin vínculo sólido.,"La forma final de Charmander, un dragón alado de fuego que no obedece a entrenadores que no considera dignos de su respeto. El Charizard de Ash fue durante temporadas el Pokémon más poderoso de su equipo y también el más rebelde, lo que hizo su relación una de las más complejas del anime.",https://static.wikia.nocookie.net/pokemon/images/0/01/0006MXCharizard.png/revision/latest/scale-to-width-down/600?cb=20260202155515
50,3,Squirtle,4,4,3,2,Samoyed,Amigable y gentil. Adaptable y sociable. Necesita compañía y vínculo constante.,"El Pokémon tortuguita de tipo Agua con una coraza que puede retraerse para protegerse. Serio, disciplinado y con un sentido innato del liderazgo que lo convierte en el jefe natural del Squirtle Squad en el anime. Uno de los tres iniciales de Kanto.",https://static.wikia.nocookie.net/pokemon/images/5/54/0007Squirtle.png/revision/latest/scale-to-width-down/600?cb=20240714154016
51,3,Wartortle,4,3,3,3,Whippet,Calmado y afectuoso. Equilibrado entre actividad y descanso. Vínculo moderado.,"La evolución de Squirtle, con orejas y cola de felpa azul. Su coraza envejece con el tiempo y desarrolla musgo, algo que los humanos de ese mundo consideran un signo de longevidad y sabiduría.",https://static.wikia.nocookie.net/pokemon/images/0/0f/0008Wartortle.png/revision/latest?cb=20260202155837
52,3,Blastoise,4,3,2,4,Rottweiler,Leal y protector. Calmado y reservado con extraños. Independiente pero fiel a los suyos.,"La forma final de Squirtle, una tortuga enorme con cañones de agua en la coraza capaces de perforar acero. Poderoso y estable, es el símbolo del equipo Azul en los juegos originales.",https://static.wikia.nocookie.net/pokemon/images/0/0a/0009Blastoise.png/revision/latest/scale-to-width-down/600?cb=20260203144707
53,3,Butterfree,3,3,3,4,Greyhound,Gentil e independiente. Noble y poco demandante. No necesita atención constante.,"La mariposa Pokémon que evoluciona desde Caterpie pasando por Metapod. Sus escamas liberan polvos paralizantes, soporíferos o venenosos según la situación. El episodio del anime en que Ash libera a su Butterfree para que pueda aparearse es uno de los momentos más emotivos de la serie original.",https://static.wikia.nocookie.net/pokemon/images/5/55/0012Butterfree.png/revision/latest?cb=20260202163741
54,3,Beedrill,2,2,4,4,Belgian Malinois,Muy activo y alerta. Reservado y con propósito claro. Difícil sin dirección firme.,"La avispa Pokémon con aguijones en las manos y la cola. Extremadamente territorial y agresivo en grupo, un enjambre de Beedrill puede ser uno de los encuentros más peligrosos del Bosque de Viridian.",https://static.wikia.nocookie.net/pokemon/images/f/f7/0015Beedrill.png/revision/latest/scale-to-width-down/600?cb=20260203145154
55,3,Pidgeotto,3,3,3,3,Borzoi,Ágil y digno. Leal pero independiente. Elegante y equilibrado en su carácter.,"El Pokémon pájaro de nivel medio en la línea de Pidgey, con una cresta distintiva y garras poderosas. El Pidgeotto de Ash fue uno de sus compañeros más constantes durante la saga de Kanto.",https://static.wikia.nocookie.net/pokemon/images/8/82/0017Pidgeotto.png/revision/latest?cb=20260203091953
56,3,Pidgeot,3,3,3,4,Afghan Hound,Aristocrático e independiente. Distante con extraños. Veloz y de carácter propio.,"La forma final de Pidgey, un ave grande y poderosa capaz de volar a velocidades que superan el sonido. Ash liberó a su Pidgeot para proteger una bandada de Pidgey de un Fearow agresivo, con la promesa de volver que tardó décadas en cumplirse.",https://static.wikia.nocookie.net/pokemon/images/7/73/0018Pidgeot.png/revision/latest?cb=20260203092010
57,3,Ekans,3,2,3,4,Italian Greyhound,Sensible y alerta. Reservado e independiente. Poco demandante de vínculo.,"La serpiente Pokémon de tipo Veneno, tranquila por naturaleza pero capaz de enrollarse y atacar con rapidez. La Ekans de Jessie del Team Rocket es uno de los Pokémon más asociados a los villanos de la serie clásica.",https://static.wikia.nocookie.net/pokemon/images/d/d2/0023Ekans.png/revision/latest?cb=20260203092327
58,3,Arbok,2,2,4,4,Doberman Pinscher,Intimidante y alerta. Leal a su entrenador. Muy activo y difícil sin guía firme.,La cobra Pokémon con un patrón en el pecho que varía según la región y que se usa para intimidar a los enemigos. Puede hipnotizar a las presas con los dibujos de su capucha extendida.,https://static.wikia.nocookie.net/pokemon/images/5/51/0024Arbok.png/revision/latest?cb=20260203092335
59,3,Pikachu,3,5,4,2,American Eskimo Dog,Juguetón e inteligente. Muy sociable y necesita vínculo total. Activo y expresivo.,"El Pokémon más famoso del mundo, el compañero de Ash y el símbolo de toda la franquicia. Pequeño, eléctrico y con una terquedad que lo llevó a rechazar evolucionar a Raichu porque prefería seguir siendo él mismo. Su relación con Ash es el corazón emocional de veinte años de anime.",https://static.wikia.nocookie.net/pokemon/images/0/0d/0025PPikachu.png/revision/latest/scale-to-width-down/600?cb=20260203150816
60,3,Raichu,3,4,3,3,Keeshond,Amigable y vivo. Vínculo fuerte y equilibrado. Sociable y adaptable.,"La evolución de Pikachu mediante piedra trueno, más potente pero sin el carisma especial de su forma anterior. En el anime representa el camino que Pikachu rechazó, lo que convierte a Raichu en el símbolo involuntario de la tensión entre poder y identidad.",https://static.wikia.nocookie.net/pokemon/images/b/b0/0026Raichu.png/revision/latest?cb=20260203093232
