personaje_id,universo_id,nombre,rol,hiperfoco,regulacion_emocional,sensorialidad,comunicacion,aprendizaje,sociabilidad,propiocepcion,funcion_ejecutiva,estilo_comunicacion,estilo_aprendizaje,estilo_socializacion,perfil_sensorial,justificacion,descripcion,url_imagen
11,1,Severus Snape,mentor,5,1,3,2,5,1,3,4,verbal_indirecto,teorico,autonomo,neutro,Hiperfoco absoluto en pociones y obsesión con Lily que consume toda su vida. Aislamiento casi total. Genio en pociones — anotaciones en el libro lo demuestran. Mantiene doble vida durante años sin fisuras.,"Snape es el profesor de Pociones más odiado de Hogwarts, un hombre amargo, parcial y cruel con los alumnos que no pertenecen a su casa. Y también el agente doble más efectivo de la historia del mundo mágico. Su historia completa solo se entiende al final: un amor no correspondido, una lealtad construida sobre la culpa y una vida entera dedicada a proteger al hijo del hombre al que odió. Es un personaje profundamente trágico que invita a revisar todo lo que creíamos saber sobre él.",https://static.wikia.nocookie.net/harrypotter/images/a/a3/Severus_Snape.jpg/revision/latest/scale-to-width-down/402?cb=20150307193047
12,1,Remus Lupin,mentor,2,2,4,4,4,3,3,3,verbal_directo,asociativo,intimo,hiposensible,Desregulación profunda ligada a la licantropía — vergüenza y autoexclusión repetida. Hipersensibilidad física y emocional intensa. El mejor profesor de DADA de la saga. Se autoexcluye por miedo al rechazo y a hacer daño.,"Lupin es el mejor profesor de Defensa Contra las Artes Oscuras que tiene Harry en Hogwarts, un hombre amable, paciente e increíblemente bueno enseñando. También es un hombre marcado por ser hombre lobo en un mundo que no acepta a los diferentes: ha pasado gran parte de su vida ocultando lo que es por miedo al rechazo. Su amistad con James, Sirius y Peter en Hogwarts y su lealtad a la Orden del Fénix hablan de alguien que da todo lo que tiene aunque sienta que no merece lo que recibe.",https://static.wikia.nocookie.net/harrypotter/images/e/e2/Remus_Lupin_Deathly_Hallows_promo_image.jpg/revision/latest/scale-to-width-down/450?cb=20161119235913
13,1,Rubeus Hagrid,mentor,5,2,3,3,3,4,3,2,verbal_directo,practico,grupal,neutro,Hiperfoco absoluto en criaturas mágicas sin distinguir peligrosas de inofensivas. Llanto fácil y explosiones emocionales. No guarda secretos — dice lo que no debe sin darse cuenta. Actúa por emoción sin planificar.,"Hagrid es el guardabosques de Hogwarts, el primer amigo de Harry y el encargado de abrirle las puertas al mundo mágico. Expulsado en tercer año por una acusación injusta, lleva décadas siendo fiel a Dumbledore y a Hogwarts con una lealtad sin condiciones. Tiene el corazón más grande de todos los personajes de la saga y una tendencia a considerar mascotas ideales a criaturas que aterrorizarían a cualquiera. Con los alumnos es cariñoso, entusiasta y a veces peligrosamente optimista sobre la seguridad de sus clases.",https://static.wikia.nocookie.net/harrypotter/images/f/fe/Rubeus_Hagrid.png/revision/latest/scale-to-width-down/450?cb=20221014184333
14,1,Dolores Umbridge,antagonista,5,2,2,2,3,2,2,5,verbal_indirecto,teorico,autonomo,neutro,Hiperfoco absoluto en el control y la autoridad. Crueldad como respuesta cuando se cuestiona su poder. Comunicación manipuladora envuelta en dulzura falsa. Implementa su agenda de control paso a paso sin fisuras.,"Umbridge tiene una capacidad de organización y una convicción en sus propias reglas que muy pocos personajes de la saga igualan. Construye sistemas de control con una eficiencia impecable y los mantiene con una coherencia interna perfecta. El problema es que pone esa organización al servicio del miedo y la crueldad institucional, convencida en todo momento de que actúa correctamente. Es más peligrosa que Voldemort precisamente porque no se reconoce como villana.",https://static.wikia.nocookie.net/harrypotter/images/4/4e/Dolores_Umbridge_DHF1_promotional_image.jpg/revision/latest/scale-to-width-down/454?cb=20101127041001
15,1,Sirius Black,aliado,2,1,3,3,4,4,4,1,verbal_directo,practico,intimo,neutro,12 años en Azkaban dejaron secuelas profundas de desregulación. Impulsividad extrema — sale de Azkaban sin plan real. Brillante académicamente. Animago — control corporal para la transformación. Lealtad incondicional a James y Harry.,"Sirius es el padrino de Harry, el último de los Black en romper con su familia y el primer inocente encarcelado en Azkaban que logra escapar. Doce años en la prisión mágica lo han dejado con cicatrices invisibles que afloran en su dificultad para adaptarse a una vida que ya no es la que conocía. Es impulsivo, brillante y profundamente leal, incapaz de mantenerse al margen cuando los suyos están en peligro aunque eso lo ponga en riesgo. Su relación con Harry es la de un hombre que intenta ser el adulto que nunca tuvo y no siempre lo consigue.",https://static.wikia.nocookie.net/harrypotter/images/b/bc/OOTP_promo_front_closeup_Sirius_Black.jpg/revision/latest/scale-to-width-down/402?cb=20150918055024
16,1,Nymphadora Tonks,aliado,1,2,3,4,3,4,2,3,verbal_directo,practico,grupal,neutro,"Poderes de metamorfomaga ligados directamente a su estado emocional — los pierde cuando está deprimida. Torpeza motora constante a pesar de ser Auror. Directa e informal, rompe convenciones sociales con naturalidad.","Tonks es una auror joven y metamorfomaga que puede cambiar su aspecto a voluntad, algo que usa con un humor desenfadado que contrasta con la seriedad de su trabajo. Es torpe en lo físico pero extraordinariamente capaz en lo profesional, y su ingreso a la Orden del Fénix la coloca en el centro de la resistencia contra Voldemort. Su historia de amor con Lupin, llena de obstáculos que ambos se ponen a sí mismos, es uno de los arcos más adultos de la saga.",https://static.wikia.nocookie.net/harrypotter/images/c/c8/Nymphadora_Tonks_DH_promo_headshot_.jpg/revision/latest/scale-to-width-down/450?cb=20161119222048
17,1,Horace Slughorn,mentor,4,3,2,3,4,5,3,4,verbal_indirecto,teorico,grupal,neutro,Hiperfoco en coleccionar personas talentosas — el Club Slug es su obsesión. Culpa profunda por haber dado información a Voldemort. Vive para las relaciones sociales y el networking. Se convierte en objetos para esconderse — transfiguración avanzada aunque imperfecta.,"Slughorn es el antiguo profesor de Pociones que Dumbledore convence para volver a Hogwarts con un propósito específico: recuperar un recuerdo que Slughorn lleva años ocultando por vergüenza. Es vanidoso, coleccionista de relaciones con personas talentosas e influyentes, y tiene la costumbre de ver a los alumnos como inversiones futuras. Pero también es un maestro genuinamente bueno y un hombre que cuando se enfrenta a sus propias acciones tiene la valentía de reconocerlas.",https://static.wikia.nocookie.net/harrypotter/images/a/a1/Horace_Slughorn_%28HBP_promo%29_1-1.jpg/revision/latest/scale-to-width-down/475?cb=20100706114608
18,1,Sybill Trelawney,mentor,5,2,4,3,3,2,2,2,verbal_indirecto,asociativo,autonomo,hipersensible,"Hiperfoco absoluto en la adivinación que consume toda su identidad. Hipersensibilidad sensorial marcada — incienso constante, vive aislada en su torre. Dramática y muy sensible al rechazo. Vive en estado alterado casi constante.","Trelawney es la profesora de Adivinación de Hogwarts, una mujer excéntrica que vive rodeada de humo de incienso y que predice la muerte de Harry con cierta regularidad. La mayoría de sus profecías son vagas y teatrales, lo que la convierte en objeto de burla entre alumnos y colegas. Sin embargo, es la autora de la única profecía verdadera de la saga, pronunciada en un estado de trance que ella misma no recuerda. Su vida es la de alguien que tiene un don real que aparece tan raramente que ha aprendido a fingirlo para sobrevivir.",https://static.wikia.nocookie.net/harrypotter/images/5/5d/Sybill_Trelawney.JPG/revision/latest/scale-to-width-down/389?cb=20110108192301
19,1,Draco Malfoy,antagonista,1,2,2,3,4,3,3,3,verbal_directo,teorico,grupal,neutro,Arrogancia como máscara del miedo — colapso emocional en libros 6 y 7. Buen estudiante por presión familiar. Capaz de planificar pero se bloquea bajo presión emocional. Buen fondo demostrado en su arco con Astoria y Scorpius.,"Draco es más inteligente de lo que su arrogancia permite ver, con una comprensión real de las dinámicas sociales y una capacidad de aprendizaje que en otro contexto podría haberlo llevado muy lejos. Pese a años de crueldad aprendida y dirigida contra quien era diferente, en el momento decisivo no puede apretar el gatillo. Esa incapacidad de ser el villano completo que su entorno esperaba de él es, paradójicamente, su mayor acto de honestidad.",https://static.wikia.nocookie.net/harrypotter/images/7/7e/Draco_Malfoy_TDH.png/revision/latest/scale-to-width-down/450?cb=20180116013508
20,1,Arthur Weasley,aliado,5,5,3,4,5,4,3,3,verbal_directo,practico,grupal,neutro,"Hiperfoco absoluto en objetos muggle — colecciona enchufes y modifica un Ford Anglia para que vuele. Regulación emocional excepcional — valentía, ausencia de rencor incluso tras el ataque de Nagini. Aprendizaje técnico autodidacta en mecánica muggle.","Arthur es el padre de los siete Weasley, trabajador del Ministerio de Magia y coleccionista obsesivo de objetos muggles que no entiende del todo pero que le fascinan profundamente. Es cálido, curioso y tiene una capacidad infinita para encontrar alegría en las cosas pequeñas. Su hogar, La Madriguera, es el sitio más acogedor de la saga precisamente porque refleja su carácter: desordenado, vivo y lleno de amor.",https://static.wikia.nocookie.net/harrypotter/images/0/02/Arthur_Weasley_profile.jpg/revision/latest/scale-to-width-down/450?cb=20150828155118
21,1,Molly Weasley,aliado,2,2,2,4,3,5,3,4,verbal_directo,practico,grupal,neutro,Intensamente protectora y cariñosa sin que sea obsesión excluyente. Explosiones de ira y llanto fácil pero mucha calidez. Organiza una familia de 9 con recursos limitados. El centro emocional de la familia — acoge a cualquiera que necesite un hogar.,"Molly es la matriarca de los Weasley, la madre de siete hijos y la persona que más veces ha alimentado a Harry en toda la saga. Tiene un temperamento fuerte, una preocupación constante por los suyos y una capacidad para hacer magia doméstica con una eficiencia que impresiona. Su valentía en la Batalla de Hogwarts, cuando se enfrenta a Bellatrix para proteger a Ginny, es uno de los momentos más recordados de la saga.",https://static.wikia.nocookie.net/harrypotter/images/3/3c/Molly_Weasley_Deathly_Hallows.jpg/revision/latest/scale-to-width-down/450?cb=20150828155116
22,1,Percy Weasley,aliado,5,2,2,3,5,2,2,5,verbal_directo,teorico,autonomo,neutro,Hiperfoco absoluto en normas y ascenso profesional. Rompe con su familia por miedo al fracaso y necesidad de aprobación externa. Prefecto jefe — excelencia académica constante. Relaciones instrumentales para ascender.,"Percy es el tercero de los Weasley, el más serio y el más orientado a las normas y al progreso profesional dentro del Ministerio de Magia. Su arco incluye un período doloroso en el que elige el Ministerio sobre su familia durante los años más oscuros, una decisión que lo aleja de todos y que lo persigue hasta que encuentra la forma de volver. Es un personaje sobre la rigidez y el precio de equivocarse por querer encajar en el sistema.",https://static.wikia.nocookie.net/harrypotter/images/b/bc/Percy_WeasleyDH.jpg/revision/latest?cb=20160720032549
23,1,Charlie Weasley,aliado,5,4,3,3,4,3,4,3,verbal_directo,practico,autonomo,neutro,Hiperfoco absoluto en los dragones — deja todo para irse a Rumanía a trabajar con ellos. Estable y tranquilo. Aprendizaje práctico en campo. Trabajo físico constante con dragones requiere coordinación y conciencia corporal.,"Charlie es el segundo de los Weasley, el que eligió Rumanía y los dragones sobre una carrera convencional. Aparece poco en la saga pero tiene un papel importante en la logística de varios momentos clave. Su pasión por las criaturas mágicas lo conecta con Hagrid y con una parte del mundo mágico que la mayoría prefiere evitar.",iconografia/personajes/charlie_weasly.jpg
24,1,Bill Weasley,aliado,3,4,3,4,4,4,3,4,verbal_directo,practico,grupal,neutro,"Rompedor de maldiciones — excelencia académica y práctica. Estable y sereno, el hermano mayor responsable. Rasgos licantrópicos leves tras el ataque de Fenrir. Media en conflictos familiares. Se casa con Fleur demostrando apertura a lo diferente.","Bill es el mayor de los Weasley, un rompedor de maleficios que trabaja para Gringotts en Egipto antes de volver a Inglaterra. Su relación con Fleur Delacour y las cicatrices que le deja Fenrir Greyback son parte de su arco en los últimos libros. Es sereno, competente y tiene la distancia tranquila de quien ha visto mucho mundo.",iconografia/personajes/bill_weasly.png
25,1,Voldemort,antagonista,5,1,2,3,5,1,3,5,verbal_indirecto,teorico,autonomo,neutro,Hiperfoco absoluto en la inmortalidad y la pureza de sangre — consume toda su existencia desde niño. Incapacidad total para sentir emociones humanas o vínculos reales. El mago más brillante de su generación. Los Horrocruxes son la estrategia más compleja de la saga.,"Tom Riddle fue, antes de convertirse en Voldemort, uno de los estudiantes más brillantes que Hogwarts había visto en décadas. Su inteligencia estratégica, su capacidad para generar devoción y su determinación sin límites le permitieron construir un movimiento desde cero y mantenerlo durante años. Pese a usar esas capacidades para sembrar terror y destrucción, su comprensión del poder mágico era genuinamente extraordinaria. Su derrota final viene de no poder entender algo que estaba fuera de su alcance: que hay fuerzas más poderosas que el miedo.",iconografia/personajes/voldemort.jpg
26,1,Bellatrix Lestrange,antagonista,5,1,3,3,4,1,4,2,verbal_indirecto,practico,autonomo,neutro,Hiperfoco absoluto en Voldemort y la causa mortífaga. Desregulación extrema — crueldad y sadismo. Azkaban dejó huella profunda. Matrimonio con Rodolphus sin vínculo emocional real. Reniega de su hermana Andrómeda por casarse con un muggle.,"Bellatrix es, pese a toda su crueldad, una de las personas más leales de la saga. Su devoción a Voldemort es absoluta y constante, nunca flaquea, nunca negocia, nunca busca una salida. En combate es formidable, con una creatividad y una intensidad que pocos magos pueden igualar. Usó esa lealtad y esa capacidad al servicio de la violencia y el terror con un placer que la hace irredeemable, pero la fuerza de esos rasgos en sí mismos es real.",https://static.wikia.nocookie.net/harrypotter/images/1/14/BellatrixLestrange.png/revision/latest/scale-to-width-down/355?cb=20171101034243
27,1,Peter Pettigrew,antagonista,2,1,2,2,3,3,4,2,verbal_indirecto,practico,grupal,neutro,"Toda su vida es una huida del miedo — traiciona a sus amigos por supervivencia. Animago tardío — requirió más tiempo que los otros. Necesita pertenecer a un grupo poderoso para funcionar. Reactivo, actúa según el miedo del momento.","Pettigrew tiene una inteligencia para la supervivencia que es, en su propio género, extraordinaria. Doce años como rata doméstica, décadas fingiendo su propia muerte, una capacidad para leer la situación y adaptarse que muy pocos poseen. El problema es que usó esa habilidad exclusivamente para protegerse a sí mismo, eligiendo siempre el bando más seguro sobre el correcto, y que esa elección destruyó a las personas que más le habían querido.",https://static.wikia.nocookie.net/harrypotter/images/e/e4/Pettigrew_DH1.jpg/revision/latest?cb=20160531030113
28,1,Lucius Malfoy,antagonista,3,2,2,3,4,3,3,4,verbal_indirecto,teorico,grupal,neutro,Colapso progresivo cuando Voldemort regresa y pierde el control de su vida. Culto y refinado. Amor real por Narcissa y Draco — su familia es su punto débil y su redención. Planificador hasta que el regreso de Voldemort lo supera.,"Lucius es un estratega social de primer nivel, capaz de mantener relaciones e influencia en múltiples círculos simultáneamente durante años. Su comprensión del poder, del dinero y de cómo usarlos para moldear instituciones es genuinamente sofisticada. Pese a poner esa inteligencia al servicio de una ideología de odio y de su propio beneficio, la lealtad que le tiene a su familia, especialmente a Draco y Narcissa, es el rasgo más humano que tiene y el que al final importa más.",https://static.wikia.nocookie.net/harrypotter/images/b/b4/Lucius_Malfoy_BoH.png/revision/latest/scale-to-width-down/405?cb=20190604135420
29,1,Narcissa Malfoy,antagonista,2,4,2,3,4,3,2,4,verbal_indirecto,teorico,intimo,neutro,Amor maternal intenso que emerge con fuerza ante el peligro real de Draco — miente a Voldemort en la cara para salvarlo. Formación académica sólida en familia de sangre pura. Juramento Inquebrantable con Snape — planificación fría y efectiva.,"Narcissa es quizás la persona más estratégicamente fría de la saga, capaz de mantener la compostura y calcular sus movimientos incluso en los momentos de mayor presión. Pese a haber vivido toda su vida dentro de un sistema de valores que daña a otros, su amor por Draco la lleva a tomar la decisión más valiente de la saga: mentirle a Voldemort en el momento en que más podría costarle. Esa capacidad de anteponer lo que quiere sobre lo que le mandan, aunque solo la usa en ese momento, lo dice todo.",https://static.wikia.nocookie.net/harrypotter/images/7/78/Narcissa_Malfoy.png/revision/latest/scale-to-width-down/441?cb=20190111020523
30,1,Alastor Moody,aliado,5,2,4,3,4,2,3,4,verbal_directo,practico,autonomo,hipersensible,Hiperfoco absoluto en la seguridad — Constant vigilance como mantra de vida. Paranoia y desconfianza extrema por secuelas de años de combate. Ojo mágico — percibe todo a su alrededor constantemente. El Auror más legendario de su generación.,"Moody es el auror más legendario de la historia del Ministerio, un hombre que ha pasado tanto tiempo persiguiendo magos oscuros que lleva la mitad del cuerpo reemplazada por partes mágicas. Paranoico, directo y brutalmente eficiente, su lema es 'constante vigilancia' y lo aplica a todo. Su aparición en el cuarto libro como profesor, aunque resulte ser una trampa, introduce al personaje real que después tiene un papel importante en la Orden.",https://static.wikia.nocookie.net/harrypotter/images/4/4d/MoodyProfile.png/revision/latest/scale-to-width-down/377?cb=20210819174911
31,1,Kingsley Shacklebolt,aliado,2,5,2,5,4,4,3,5,verbal_directo,teorico,grupal,neutro,"Regulación excepcional — calmado en cualquier situación, transmite seguridad. Voz y presencia de liderazgo natural. Auror de élite y Ministro de Magia. Gestiona la resistencia y luego el Ministerio con organización excepcional.","Kingsley es un auror del Ministerio de Magia y miembro de la Orden del Fénix, uno de los pocos dentro del sistema que mantiene la integridad cuando la institución cae bajo la influencia de Voldemort. Es sereno, capaz y tiene una presencia tranquila que inspira confianza. Después de la guerra se convierte en Ministro de Magia.",https://static.wikia.nocookie.net/harrypotter/images/5/5e/Kingsley_Shacklebolt_DHF1_promo.jpg/revision/latest/scale-to-width-down/450?cb=20101113194841
32,1,Cho Chang,aliado,2,4,2,4,4,4,4,4,verbal_directo,teorico,grupal,neutro,Leal y directa — no va con Harry al baile del Cáliz de Fuego. Se une al ED por convicción propia. Toma la iniciativa en la comunicación con Harry cuando él no sabe cómo. Buscadora excepcional de Ravenclaw.,"Cho es una de las mejores Buscadoras de Hogwarts y la primera chica que le gusta a Harry de verdad. Su relación con él está marcada por el duelo: Cho perdió a Cedric Diggory en el Torneo de los Tres Magos y Harry es el último que lo vio vivo, lo que hace que cada conversación entre ellos esté cargada de cosas que ninguno sabe cómo decir.",https://static.wikia.nocookie.net/harrypotter/images/1/1e/Cho_Chang.jpg/revision/latest/scale-to-width-down/410?cb=20180322164130
33,1,Cedric Diggory,aliado,2,5,2,4,4,5,4,4,verbal_directo,practico,grupal,neutro,Extraordinariamente justo y empático — ayuda a Harry con el huevo aunque compiten. Popular y querido sin arrogancia. Buscador excepcional y campeón del Torneo de los Tres Magos. Afronta los desafíos con estrategia y calma.,"Cedric es el campeón de Hufflepuff en el Torneo de los Tres Magos, un chico popular, justo y genuinamente buena persona en un mundo donde eso no siempre se recompensa. Su muerte al final del cuarto libro es el primer momento en que la saga muestra sin filtros que nadie está a salvo, y que la maldad puede matar a los buenos sin ningún motivo narrativo que lo justifique.",https://static.wikia.nocookie.net/harrypotter/images/9/90/Cedric_Diggory_Profile.png/revision/latest/scale-to-width-down/450?cb=20161123045136
34,1,Dean Thomas,aliado,3,3,2,3,3,4,3,3,verbal_directo,practico,grupal,neutro,Hiperfoco en fútbol y arte — dibuja constantemente en sus cuadernos. Amistades sólidas con Seamus y Ron. Integrado naturalmente en el grupo de Gryffindor.,"Dean es un estudiante de Gryffindor, compañero de habitación de Harry y apasionado del fútbol muggle. Tiene una presencia constante en los libros como parte del entorno de Harry, y su historia personal, incluyendo sus raíces y su relación con su familia, tiene más profundidad de la que los libros alcanzan a explorar.",https://static.wikia.nocookie.net/harrypotter/images/9/93/Dean_Thomas_DHF2.jpg/revision/latest/scale-to-width-down/452?cb=20220628110512
35,1,Seamus Finnigan,aliado,2,2,3,3,2,4,2,2,verbal_directo,practico,grupal,neutro,"Impulsivo — sus hechizos explotan constantemente, actúa antes de pensar. Dificultades con el control preciso de la magia práctica. Amistades sólidas, fácil de tratar. Patrón de impulsividad constante en el canon.","Seamus es el compañero de Gryffindor famoso por hacer explotar accidentalmente casi todo lo que toca con magia, especialmente en los primeros años. Es amigo cercano de Dean y tiene un arco interesante en la sexta y séptima entrega cuando supera sus dudas sobre Harry y se convierte en parte activa de la resistencia.",https://static.wikia.nocookie.net/harrypotter/images/a/a7/Seamus_Finnigan_GOFF_promo.png/revision/latest/scale-to-width-down/422?cb=20081129113406
