pregunta_id,universo_id,dimension,modulo,texto,opcion_a,puntuacion_a,opcion_b,puntuacion_b,opcion_c,puntuacion_c,opcion_d,puntuacion_d,opcion_e,puntuacion_e
60,2,aprendizaje,1,Lyra aprende a leer el Aletiómetro de forma intuitiva sin que nadie se lo enseñe. ¿Cómo te relacionas con el conocimiento nuevo?,Lo analizo sistemáticamente — necesito estructurarlo antes de asimilarlo,5,Lo exploro con curiosidad — me gusta descubrir a mi ritmo,3,Lo absorbo por inmersión — aprendo mejor cuando estoy dentro de la experiencia,2,Lo conecto con otras cosas — el conocimiento aislado no me dice nada,0,,
61,2,aprendizaje,1,Will domina el cuchillo sutil en poco tiempo por pura necesidad. ¿Cómo respondes cuando tienes que aprender algo urgente?,Me bloqueo — la presión me impide aprender bien,0,Me cuesta más pero puedo hacerlo con tiempo,2,La urgencia me activa — aprendo más rápido cuando hay algo en juego,4,La presión no me afecta — aprendo igual con o sin urgencia,5,,
62,2,sociabilidad,1,Lyra conecta con cualquiera — gitanos del río osos acorazados brujas o niños. ¿Cómo es tu círculo social?,Pequeño y muy selectivo — prefiero pocos vínculos pero profundos,0,Un grupo pequeño de confianza con alguna relación más amplia,2,Variado — me gusta conocer personas muy diferentes entre sí,4,Cuanto más amplio mejor — me energiza conocer gente nueva constantemente,5,,
63,2,sociabilidad,1,Will pasa años cuidando a su madre en soledad casi absoluta. ¿Cómo te sientes después de mucho tiempo a solas?,Recargado — la soledad es mi forma de recuperar energía,0,Bien pero con ganas de algo de contacto social,2,Con ganas de compañía — la soledad prolongada me pesa,4,Incómodo — necesito contacto social para sentirme bien,5,,
64,2,sociabilidad,1,Las brujas forman clanes pero cada una mantiene su independencia individual. ¿Cómo te relacionas con los grupos?,Prefiero la independencia — los grupos me agotan,0,Pertenezco a un grupo pequeño pero mantengo mi espacio propio,2,Disfruto de los grupos — me siento cómodo en colectivo,4,Soy un animal social — necesito pertenecer a un grupo para funcionar bien,5,,
65,2,propiocepcion,1,Will aprende a manejar el cuchillo sutil en poco tiempo como si siempre lo hubiera sabido. ¿Cómo aprendes tú las habilidades físicas?,Me cuesta mucho — soy torpe y necesito mucha práctica,0,Con esfuerzo pero puedo aprender cualquier habilidad física,2,Con relativa facilidad — mi cuerpo responde bien,4,De forma natural — las habilidades físicas me salen solas,5,,
66,2,propiocepcion,1,Las brujas vuelan con una elegancia y control absolutos. ¿Cómo te mueves en el espacio físico?,Con dificultad — me choco con las cosas y me cuesta calcular distancias,0,Sin destacar — me muevo de forma funcional pero sin precisión especial,2,Con soltura — tengo buena conciencia espacial,4,Con naturalidad absoluta — el movimiento preciso me sale solo,5,,
67,2,propiocepcion,1,Iorek Byrnison conoce cada límite de su cuerpo en combate con precisión milimétrica. ¿Eres consciente de tu cuerpo y sus límites?,Poco — a menudo no soy consciente de mi postura o mis movimientos,0,Algo — me fijo en mi cuerpo cuando me lo recuerdan,2,Bastante — tengo buena conciencia corporal en general,4,Mucho — soy muy consciente de mi cuerpo y sus sensaciones en todo momento,5,,
68,2,funcion_ejecutiva,1,La Iglesia lleva siglos controlando el conocimiento con una planificación meticulosa. ¿Cómo organizas tú lo que tienes que hacer?,Lo dejo para el último momento — empezar es lo que más me cuesta,0,Lo intento organizar pero acabo improvisando más de lo que me gustaría,2,Me hago un plan y generalmente lo cumplo con algún ajuste,4,Lo organizo todo desde el principio — no tener un plan me genera ansiedad,5,,
69,2,funcion_ejecutiva,1,Lord Asriel planifica durante décadas su guerra contra la Autoridad sin desviarse nunca de su objetivo. ¿Cómo mantienes tus objetivos a largo plazo?,Me cuesta mantenerlos — me distraigo o los abandono con facilidad,0,Los mantengo con esfuerzo pero necesito recordatorios constantes,2,Los sigo con relativa constancia aunque con algún desvío,4,Una vez me fijo un objetivo lo persigo sin perderlo de vista,5,,
70,2,funcion_ejecutiva,1,Lyra se adapta a cualquier situación imprevista — de Oxford al Ártico sin inmutarse. ¿Cómo gestionas los cambios inesperados?,Me descolocan mucho — los imprevistos me cuestan muchísimo,0,Me cuesta adaptarme pero puedo hacerlo con tiempo,2,Me adapto con relativa facilidad aunque prefiero tener un plan,4,Me adapto sin problema — la flexibilidad es uno de mis puntos fuertes,5,,
71,3,hiperfoco,1,Cuando descubres un nuevo tipo de Pokémon que te fascina...,Me olvido de comer dormir y de todo lo demás hasta saberlo todo sobre él,5,Le dedico mucho tiempo pero puedo seguir haciendo otras cosas,4,Me interesa y busco algo de información,2,Lo anoto y sigo con mi camino,0,,
72,3,hiperfoco,1,Ash tiene un objetivo claro: ser Maestro Pokémon. ¿Y tú?,Tengo una meta que ocupa casi todos mis pensamientos,5,Tengo intereses fuertes pero varios a la vez,4,Me interesan muchas cosas sin una favorita clara,2,Voy descubriendo sin un objetivo fijo,0,,
73,3,hiperfoco,1,Cuando hablas de tu tema favorito con alguien...,Puedo hablar horas y me cuesta parar aunque el otro pierda interés,5,Me emociono mucho pero sé cuándo parar,4,Comparto lo básico y espero que pregunte más,2,Solo hablo de ello si me preguntan directamente,0,,
74,3,regulacion_emocional,1,Jessie explota cada vez que Ash le escapa. ¿Tú cómo reaccionas cuando algo sale muy mal?,Como Jessie — exploto al momento y necesito tiempo para calmarme,0,Me enfado bastante pero no monto un drama,2,Me frustra pero en un rato ya estoy bien,4,Como Brock — lo proceso con calma y busco qué mejorar,5,,
75,3,regulacion_emocional,1,Tu Pokémon acaba de perder una batalla que parecía ganada. ¿Qué sientes?,Me derrumbo como Dawn después de un mal concurso no puedo pensar en otra cosa,0,Me afecta mucho pero sigo funcionando,2,Me molesta un momento y enseguida busco cómo mejorar,4,Lo acepto le doy las gracias a mi Pokémon y seguimos,5,,
76,3,regulacion_emocional,1,Estás en plena ruta y alguien del grupo dice algo que te molesta. ¿Qué haces?,Lo suelto al momento como Misty — sin filtro,0,Me lo callo pero le doy vueltas durante horas,2,Espero el momento y lo hablo con calma,4,Si no es importante lo dejo pasar y sigo caminando,5,,
77,3,sensorialidad,1,Llegas a una ciudad nueva llena de ruidos luces y gente. ¿Cómo te sientes?,Me agobia mucho necesito salir de ahí cuanto antes,5,Me cansa bastante pero puedo aguantar un rato,4,Me activa y me pone de buen humor,2,Como Ash entrando a Ciudad Carmín — ni me fijo a por el gimnasio,0,,
78,3,sensorialidad,1,Estás en el Centro Pokémon descansando. ¿Qué necesitas para estar bien?,Silencio total sin ruidos ni luces fuertes,5,Un ambiente tranquilo pero no necesito aislamiento total,4,Me da igual el ambiente me adapto fácil,2,Cuanta más actividad alrededor mejor me aburre el silencio,0,,
79,3,sensorialidad,1,Sylveon percibe las emociones y el entorno a través de sus cintas con una sensibilidad extrema. ¿Y tú cómo percibes el mundo?,Como Sylveon — noto todo texturas olores sonidos más que la mayoría,5,Como Haunter — bastante sensible pero no me desborda,4,Como Geodude — lo normal no me fijo especialmente,2,Como Tauros — necesito estímulos fuertes para prestar atención,0,,
80,3,comunicacion,1,El Profesor Oak te pide que expliques cómo capturaste a tu Pokémon más difícil. ¿Cómo lo cuentas?,Con todo el detalle — el contexto los pasos las emociones — me extiendo mucho,5,Lo cuento bien pero voy al grano,4,Digo lo básico y espero que pregunte si quiere saber más,2,Con dos palabras — lo capturé y ya,0,,
81,3,comunicacion,1,Hay un malentendido en el grupo sobre qué ruta tomar. ¿Qué haces?,Como Brock — escucho a todos y busco el consenso,5,Digo mi opinión claramente aunque no guste,4,Espero a ver qué deciden los demás,2,Me cuesta expresar lo que pienso y prefiero seguir al grupo,0,,
82,3,comunicacion,1,Conoces a un entrenador nuevo en la ruta. ¿Cómo arranca la conversación?,Me presento solo y propongo batalla al momento,5,Espero a que hable primero pero respondo con ganas,4,Contesto lo justo y veo si hay feeling,2,Prefiero seguir mi camino sin interactuar,0,,
83,3,aprendizaje,1,El Profesor Oak te explica la teoría detrás de los tipos Pokémon. ¿Cómo lo asimilas mejor?,Leyendo y estudiando por mi cuenta con calma,5,Escuchando la explicación y tomando notas,4,Probando en batalla directamente,2,Lanzándome sin teoría y aprendiendo sobre la marcha,0,,
84,3,aprendizaje,1,Tienes que aprender un movimiento nuevo con tu Pokémon. ¿Cómo lo enfocas?,Como Clemont — analizo investigo y entiendo el mecanismo antes de intentarlo,5,Leo las instrucciones y luego practico,4,Pruebo directamente y ajusto sobre la marcha,2,Repito hasta que sale sin pensar demasiado en el porqué,0,,
85,3,aprendizaje,1,Pierdes una batalla por un error táctico. ¿Qué haces después?,Analizo cada decisión para entender exactamente qué falló,5,Repaso lo más importante y corrijo lo obvio,4,Lo proceso mentalmente pero sin mucho análisis,2,Lo dejo atrás y confío en que la experiencia me hará mejor,0,,
